店名,住所
モーリーファンタジー三笠店,北海道三笠市岡山１０５９－１イオン三笠１階
ちびっこ遊園地ジョイランドイオン伊達,北海道伊達市末永町８－１イオン伊達２Ｆ
イオン伊達店,北海道伊達市末永町８－１イオン伊達
ディノスパーク伊達店,北海道伊達市末永町66番地1ディノスパーク伊達
MEGAドン・キホーテ函館店,北海道函館市美原１－７－１ＭＥＧＡドン・キホーテ函館
ぷれいらんど373函館店,北海道函館市美原１－７－１ＭＥＧＡドン・キホーテ函館２階
イトーヨーカドー函館店,北海道函館市美原１－３－１イトーヨーカドー函館
ディノスパーク函館昭和,北海道函館市昭和３丁目２４－１８ゲオパーク函館昭和１階
トイザらス函館店,北海道函館市石川町５２－１５ＣＥＮＴＲＥＭＡＲＵＹＡＭＡ
モーリーファンタジー湯川店,北海道函館市湯川町3-14-5イオン湯川2F
ディノスパーク上磯,北海道北斗市七重浜７－１４－１スーパーセンタートライアル上磯
モーリーファンタジーイオン上磯店,北海道北斗市七重浜４－４４－１イオン上磯
イオン北見店,北海道北見市北進町１－１－１イオン北見
イトーヨーカドー北見店,北海道北見市光西町１８５イトーヨーカドー北見
イーストモール,北海道北見市端野町三区５７２－１東武イーストモール橋野
ディノスパーク北見,北海道北見市西三輪５―１―１６ディノスパーク北見
東武端野店アミューズメントシティ,北海道北見市端野町三区５７２－１東武イーストモール橋野
アピナ新千歳空港店,北海道千歳市美々１２９２番地３３アピナ新千歳空港４Ｆ
イオン千歳キッズ・パーク,北海道千歳市栄町６－６１イオン千歳
イオン千歳店,北海道千歳市栄町６－５１イオン千歳
モーリーファンタジー名寄店,北海道名寄市字徳田８０番地１イオン名寄ショッピングセンター２階
イオン室蘭アミューズメントランド,北海道室蘭市東町２丁目イオン室蘭
スーパーアークス中島店,北海道室蘭市中島本町１－４－４スーパーアークス中島
長崎屋室蘭中島店,北海道室蘭市中島町１－１９－１１長崎屋室蘭中島
イオン小樽店,北海道小樽市築港１１－６ウイングベイ小樽
ナムコランド小樽,北海道小樽市築港１１番５号ウイングベイ小樽２階
長崎屋小樽店,北海道小樽市稲穂２－２０－１長崎屋小樽
イオン岩見沢店,北海道岩見沢市大和４条８－１イオン岩見沢
MEGAドン・キホーテ西帯広店,北海道帯広市西２１条南４－１ＭＥＧＡドン・キホーテ西帯広
イオン帯広キッズ・パーク,北海道帯広市西４条南２０丁目イオン帯広
イオン帯広店,北海道帯広市西４条南２０－１イオン帯広
